trials,multiplications,threads,time
1369,1360,2,1830130373
734,1518,8,430562502
374,327,2,125344107
778,1120,1,1682346877
738,792,4,301507547
974,360,8,153804712
111,853,4,49632521
665,466,1,610272293
1250,1465,4,912168968
1152,813,8,370601601
1237,237,8,124029394
1989,1951,8,1495323762
790,474,1,752355836
1692,1489,2,2489246961
760,248,1,386194750
1131,857,2,958262752
1801,1780,8,1207917600
374,1015,1,744604972
763,1741,8,507040513
31,31,1,3824783
1209,1191,2,1439719167
1636,1400,2,2318712442
848,1060,1,1819418535
1130,1143,2,1335138491
1733,827,8,615140438
925,490,4,247735764
412,826,1,686340938
488,666,4,177671895
717,1643,1,2389994863
1580,1393,2,2466882822
1511,831,1,2586113791
67,695,1,95259541
715,1616,2,1225520643
565,508,2,288343566
1031,457,2,501364355
1062,1887,2,2106828632
30,232,4,7089235
174,1135,2,206690664
1791,658,1,2399399905
72,993,1,147489916
590,757,4,254882458
1738,1841,4,1701508228
1730,402,1,1449360792
1395,770,4,579822623
1218,914,8,503014505
320,980,4,178849229
1727,1194,1,4210459306
1298,34,2,49769438
178,1023,8,92554455
1854,314,4,308283785
1033,1236,8,500054251
648,149,2,103716407
1710,829,8,602439265
1450,280,4,208234175
1836,1353,1,4979244116
1977,1866,2,3699604641
20,644,1,28976972
1177,1781,2,2100384916
559,738,8,180021123
904,1667,2,1520230211
119,808,4,52707298
456,31,2,17076728
1042,1171,1,2439585215
501,516,1,514704895
352,1256,1,894436943
110,1285,8,69988249
1986,1935,8,1523838257
1282,1222,8,698982229
1446,1249,8,726813014
1231,349,8,187183185
768,735,8,246514678
540,650,4,193451303
1228,1000,1,2464018669
1598,1074,1,3444404388
375,26,2,13506592
412,1515,1,1241821037
998,1242,1,2458345295
265,862,2,245782568
341,1473,4,268752269
1349,1574,1,4201776778
330,1053,2,347811655
393,1477,8,236733452
974,885,4,451057381
1961,758,2,1487220156
974,645,2,633733906
1890,1817,4,1770563940
1994,45,4,52764015
1067,735,8,334013166
672,1339,2,911927215
102,2000,8,95341454
1123,392,1,873086624
1136,1378,2,1579691676
1894,1585,2,3003901011
483,1089,1,1049303363
1781,772,1,2738488506
427,722,2,316519668
1858,1944,2,3624701689
1956,644,2,1258959811
584,854,1,996533848
969,1796,2,1781925075
1502,301,4,265665379
1462,909,4,700774004
1430,147,4,112186848
1651,1156,2,1975808456
1516,1043,2,1588582877
682,1717,8,480546010
309,83,8,16710241
1052,1990,4,1078073297
888,705,2,639730325
175,1185,8,97612267
700,975,4,359697833
326,1985,8,259290191
761,1884,8,598433203
1755,1022,2,1812474101
940,244,8,110556055
1829,337,8,262882147
1785,191,1,691974977
561,1574,2,909439607
1456,958,1,2845306691
440,1419,1,1288166863
1806,1196,2,2247108016
245,751,8,95639543
1342,1129,2,1529801834
871,1525,4,695764995
1910,1032,2,2076720503
684,500,2,362250423
1837,972,4,973194604
250,1474,2,384414567
1242,1841,8,948447432
120,442,2,61010527
1729,29,1,106690847
1635,1329,4,1147106487
1472,1857,1,5535793549
1520,1451,1,4558917361
158,1562,1,524319850
522,1822,1,1984709755
1060,1806,8,854398108
722,1488,1,2165795272
707,821,8,238544423
749,555,1,846144903
992,1128,2,1177100343
831,200,2,182432038
1672,836,4,770024261
1074,1040,1,2302625257
1016,299,8,145552358
695,511,4,198211737
1081,1380,1,2978190817
171,1738,2,314711141
424,1135,8,211433045
932,1922,2,1839010381
1595,620,4,531218308
1083,1353,2,1503382472
901,105,1,190333043
1989,1384,8,1103725874
1328,1977,1,5173027250
1732,1758,8,1183362028
1976,503,8,392742982
1243,910,2,1143115945
1632,344,2,556294315
1219,905,8,440193617
1670,152,4,132755836
1861,1311,2,2424253666
1268,1506,8,738786406
928,1267,2,1159434513
128,147,4,15038470
1323,1992,8,1009684694
1703,12,8,15259665
1761,307,1,1058328293
946,374,2,355692221
1525,790,8,479433076
